grade,count,default_rate,avg_int_rate
A,235095,0.060426636040749486,7.113041238648206
B,392748,0.1338670088708281,10.679135679876154
C,381694,0.2244127494799499,14.021231038475847
D,200966,0.3038673208403411,17.7216918284685
E,93656,0.3848231827111984,21.13830240454429
F,32059,0.45204154839514643,24.934966156149603
G,9132,0.49934296977660975,27.72593845816908
